,Months,Final Incurred,Final Paid
0,1,28.22736159,107.1797614
1,2,13.70439999,47.94339508
2,3,8.870536564,28.19156185
3,4,6.459418067,18.48474107
4,5,5.018047358,12.88548711
5,6,4.06217716,9.370870514
6,7,3.384238916,7.046059125
7,8,2.88035346,5.449830489
8,9,2.492696108,4.321018472
9,10,2.186464274,3.502501088
10,11,1.939421753,2.895701987
11,12,1.736677672,2.436788457
12,13,1.689060918,2.321384143
13,14,1.642617126,2.165274062
14,15,1.627177893,2.00196851
15,16,1.611664973,1.912162082
16,17,1.567849221,1.815364381
17,18,1.547153101,1.761362058
18,19,1.526435966,1.705371425
19,20,1.505696985,1.647036351
20,21,1.484935281,1.585910156
21,22,1.464149931,1.521424834
22,23,1.44333996,1.465502756
23,24,1.422504338,1.446928462
24,25,1.401641976,1.299225686
25,26,1.380751724,1.211110804
26,27,1.359832363,1.112353979
27,28,1.270553294,1.034535111
28,29,1.249330038,1.011262405
29,30,1.228063218,0.99104629
