Protection 2,,,,,,,,,,,,
,Alabama,,Alaska,,Arizona,,Arkansas,,California,,Colorado,
Months,Incurred,Paid,Incurred,Paid,Incurred,Paid,Incurred,Paid,Incurred,Paid,Incurred,Paid
12,1.5875,2.5698,1.926564,3.25874,1.7423,2.1582,1.85269,2.98746,1.873236,3.16826,1.7085,1.8126
13,1.5472,2.5483,1.8999,3.2135,1.7254,1.9854,1.5483,2.9856,1.846572,3.12302,1.6916,1.6398
14,1.5445,2.4177,1.873236,3.16826,1.7085,1.8126,1.24391,2.70572,1.819908,3.07778,1.6747,1.467
15,1.5418,2.2871,1.846572,3.12302,1.6916,1.6398,1.2305,2.42584,1.793244,3.03254,1.6578,1.2942
16,1.5391,2.1565,1.819908,3.07778,1.6747,1.467,1.21709,2.14596,1.76658,2.9873,1.6409,1.27325
17,1.42569,2.0259,1.793244,3.03254,1.6578,1.2942,1.20368,1.86608,1.739916,2.94206,1.624,1.2523
18,1.40256,1.8953,1.76658,2.9873,1.6409,1.27325,1.19027,1.7423,1.713252,2.89682,1.6071,1.23135
19,1.37943,1.7647,1.739916,2.94206,1.624,1.2523,1.17686,1.61852,1.686588,2.85158,1.5902,1.2104
20,1.3563,1.6341,1.713252,2.89682,1.6071,1.23135,1.16345,1.49474,1.659924,2.80634,1.5733,1.18945
21,1.33317,1.5035,1.686588,2.85158,1.5902,1.2104,1.15004,1.37096,1.63326,2.7611,1.5564,1.1685
22,1.31004,1.3729,1.659924,2.80634,1.5733,1.18945,1.13663,1.24718,1.606596,2.71586,1.5395,1.14755
23,1.28691,1.2423,1.63326,2.7611,1.5564,1.1685,1.12322,1.2356,1.579932,2.67062,1.5226,1.1266
24,1.26378,1.23568,1.606596,2.71586,1.5395,1.14755,1.10981,1.236,1.553268,2.62538,1.5057,1.10565
25,1.24065,0.9811,1.579932,2.67062,1.5226,1.1266,1.0964,0.87584,1.526604,2.58014,1.4888,1.0847
26,1.21752,0.8505,1.553268,2.62538,1.5057,1.10565,1.08299,0.75206,1.49994,2.5349,1.4719,1.06375
27,1.19439,0.7199,1.526604,2.58014,1.4888,1.0847,1.06958,0.62828,1.473276,2.48966,1.455,1.0428
28,1.05561,0.637,1.36662,2.3087,1.3874,0.959,0.98912,0.618795,1.446612,2.44442,1.4381,1.02185
29,1.03248,0.62153,1.339956,2.26346,1.3705,0.93805,0.97571,0.598756,1.419948,2.39918,1.4212,1.0009
30,1.00935,0.61025,1.313292,2.21822,1.3536,0.9171,0.9623,0.582364,1.393284,2.35394,1.4043,0.97995
